id,date_account_created,date_first_booking,gender,age,signup_method,signup_flow,language,affiliate_channel,affiliate_provider,first_affiliate_tracked,signup_app,first_device_type,first_browser,country_destination
gxq8ex2ab3,07-08-2013,21-03-2014,MALE,43,facebook,0,en,direct,direct,untracked,Web,iPad,"Mobile Safari",FR
7sr5tm96hp,26-09-2012,,MALE,70,facebook,0,en,direct,direct,untracked,Web,"Mac Desktop",Safari,NDF
kx0qze2hlg,20-01-2014,,,NULL,basic,0,en,sem-brand,google,omg,Web,"Mac Desktop",Safari,NDF
5h6be8oqo9,28-09-2013,,,NULL,basic,25,en,direct,direct,untracked,iOS,iPhone,,NDF
q87b8mnlb3,27-03-2014,28-03-2014,FEMALE,32,basic,0,en,direct,direct,untracked,Web,"Mac Desktop",Safari,US
oj1xbw8iaz,15-10-2012,,FEMALE,NULL,basic,0,en,sem-brand,google,omg,Web,"Mac Desktop",Safari,NDF
qvah138kpf,20-04-2014,,,NULL,basic,25,en,direct,direct,untracked,iOS,iPhone,,NDF
ozuuxukkiu,10-10-2013,,,NULL,basic,0,en,direct,direct,untracked,Web,"Windows Desktop",Firefox,NDF
iva002tiii,11-06-2014,,,NULL,basic,0,en,direct,direct,linked,Web,"Mac Desktop",Safari,NDF
pcrac6kklt,15-03-2013,,,NULL,basic,0,en,direct,direct,untracked,Web,"Windows Desktop",IE,NDF
bxcypyjf7r,25-11-2013,,FEMALE,24,basic,0,en,direct,direct,untracked,Web,"Mac Desktop",Chrome,NDF
kyau1lr283,16-07-2013,16-07-2013,FEMALE,51,basic,0,en,direct,direct,linked,Web,"Mac Desktop",Safari,US
sys5mwklpb,21-09-2013,01-10-2013,MALE,32,facebook,0,en,direct,direct,linked,Web,"Mac Desktop",Chrome,US
cpdspzsjaw,04-05-2014,08-05-2014,FEMALE,25,facebook,0,en,direct,direct,tracked-other,Web,"Mac Desktop",Safari,US
ps7xapzydg,04-06-2014,,MALE,34,facebook,25,en,direct,direct,omg,iOS,"Mac Desktop",Chrome,NDF
rep00rc9lg,26-01-2014,22-04-2014,MALE,36,basic,25,en,direct,direct,untracked,iOS,"Mac Desktop",Chrome,US
zuxccuawci,22-03-2014,,,NULL,basic,23,en,direct,direct,untracked,Android,Other/Unknown,,NDF
rb7puxu2lq,29-02-2012,,MALE,31,basic,0,en,direct,direct,linked,Web,"Mac Desktop",Firefox,NDF
76e6ct651a,21-08-2012,21-08-2012,MALE,29,facebook,0,en,direct,direct,linked,Web,"Desktop (Other)",Chrome,DE
6u3wxlzt8b,20-04-2012,,MALE,52,basic,0,en,other,craigslist,linked,Web,"Windows Desktop",IE,NDF
e6bbaxa9fn,05-02-2013,09-02-2013,MALE,40,basic,0,en,direct,direct,untracked,Web,"Windows Desktop",Chrome,US
a70lx0wj4q,15-10-2013,,,NULL,basic,0,en,direct,direct,omg,Web,"Mac Desktop",Safari,NDF
4hrxgx437n,20-01-2014,,FEMALE,51,facebook,12,en,api,other,untracked,iOS,iPad,,NDF
pd0b68pdpb,11-07-2013,,,NULL,basic,0,en,direct,direct,untracked,Web,"Windows Desktop",IE,NDF
5253yxh6tr,01-12-2013,,FEMALE,46,facebook,12,es,api,other,untracked,Android,Other/Unknown,,NDF
ox6gccaa4a,10-09-2013,,,NULL,basic,0,en,direct,direct,linked,Web,"Windows Desktop",Firefox,NDF
0lqedrdhxe,25-05-2013,10-02-2014,FEMALE,41,facebook,0,en,direct,direct,linked,Web,"Mac Desktop",Safari,US
ca76da4y6a,14-10-2013,,,NULL,basic,0,en,direct,direct,untracked,Web,"Mac Desktop",Safari,NDF
9bug8k9k4n,13-05-2014,,,NULL,basic,0,en,direct,direct,untracked,Web,"Windows Desktop",Chrome,NDF
fkxn7osevm,30-09-2011,30-09-2011,FEMALE,70,basic,0,en,direct,direct,linked,Web,"Mac Desktop",Safari,US
kb6gtyxdx0,30-04-2014,,,NULL,basic,0,en,sem-non-brand,google,untracked,Web,iPhone,,NDF
gbck5i696f,06-10-2011,07-10-2011,MALE,33,facebook,2,en,direct,direct,untracked,Web,"Windows Desktop",Chrome,US
a7ewm2v0c2,13-06-2012,21-06-2012,MALE,39,facebook,0,en,direct,direct,untracked,Web,"Mac Desktop",Safari,other
07uin9lgpa,04-09-2013,11-10-2013,,NULL,basic,0,en,direct,direct,linked,Web,"Mac Desktop",Safari,other
sp3pjyk6gi,30-08-2011,,FEMALE,47,basic,3,en,seo,google,omg,Web,"Mac Desktop",Safari,NDF
032321mzz2,28-12-2013,29-12-2013,MALE,44,facebook,12,en,api,other,untracked,iOS,iPhone,"Mobile Safari",other
gr6ln84x3r,19-10-2013,,,NULL,basic,25,en,direct,direct,untracked,iOS,iPhone,,NDF
t3n5a6aoma,15-05-2014,,FEMALE,25,basic,25,en,direct,direct,untracked,iOS,iPhone,,NDF
b4hbtrhwqs,05-08-2013,,,NULL,basic,0,en,sem-non-brand,google,omg,Web,"Mac Desktop",Firefox,NDF
kjh9lju8os,02-06-2014,02-06-2014,MALE,NULL,facebook,24,en,direct,direct,untracked,Web,iPhone,"Mobile Safari",US
hbsq6arbdv,16-01-2012,,,NULL,basic,3,en,direct,direct,untracked,Web,iPhone,"Mobile Safari",NDF
3vh50ojuib,06-03-2014,,,NULL,basic,0,en,direct,direct,untracked,Web,"Mac Desktop",Safari,NDF
p44ax30wnb,03-05-2014,,,NULL,basic,24,en,direct,direct,linked,Moweb,iPhone,"Mobile Safari",NDF
y7nt2yfvwh,01-09-2013,01-09-2013,,NULL,basic,0,en,direct,direct,untracked,Web,"Windows Desktop",Chrome,US
0701si8r8i,06-05-2013,,FEMALE,42,facebook,0,en,direct,direct,omg,Web,"Desktop (Other)",Firefox,NDF
jx44d7o2sk,13-12-2013,17-12-2013,FEMALE,NULL,basic,0,en,direct,direct,linked,Web,"Windows Desktop",Chrome,US
20s8sc1obi,12-10-2012,14-10-2012,FEMALE,30,basic,0,en,direct,direct,linked,Web,iPad,"Chrome Mobile",US
rgxnxxr8cz,05-10-2012,05-10-2012,,NULL,basic,0,en,direct,direct,untracked,Web,"Windows Desktop",Chrome,US
pf3b5x7eri,29-11-2013,,FEMALE,30,facebook,12,en,api,other,untracked,iOS,iPhone,,NDF
yiu23hna9l,30-12-2011,18-08-2012,MALE,NULL,basic,2,en,direct,direct,untracked,Web,"Windows Desktop",Chrome,other
2upqmrpbww,02-09-2012,,FEMALE,52,facebook,0,en,direct,direct,untracked,Web,"Mac Desktop",Firefox,NDF
6lk8qb4sa8,05-08-2013,,MALE,52,facebook,0,en,sem-brand,google,untracked,Web,"Windows Desktop",Chrome,NDF
3aq2p0iwbr,03-10-2013,,,NULL,basic,0,en,direct,direct,untracked,Web,iPhone,"Mobile Safari",NDF
qdyvysduna,12-05-2014,15-05-2014,FEMALE,41,basic,0,en,sem-brand,google,omg,Web,"Mac Desktop",Chrome,US
4qzdojzf6j,11-04-2012,28-04-2012,,NULL,basic,0,en,direct,direct,untracked,Web,"Windows Desktop",IE,US
1dk4dy4yyw,15-03-2012,,FEMALE,39,facebook,0,en,direct,direct,linked,Web,"Mac Desktop",Firefox,NDF
nftvip3nay,15-08-2013,,,NULL,basic,0,en,direct,direct,untracked,Web,"Mac Desktop",Firefox,NDF
tyso8mtiay,25-06-2014,29-06-2014,MALE,26,facebook,0,en,sem-non-brand,google,omg,Web,"Windows Desktop",Chrome,other
mgcmj4xa3k,26-09-2011,,MALE,42,facebook,2,en,other,other,untracked,Web,"Android Tablet",IE,NDF
1sogse63m9,25-01-2013,26-01-2013,FEMALE,2014,basic,0,en,sem-brand,google,untracked,Web,iPhone,,IT
sn5mu6bjyw,18-01-2014,28-01-2014,MALE,NULL,basic,0,en,direct,direct,untracked,Web,"Mac Desktop",Chrome,US
lridy8x5on,17-03-2014,,FEMALE,24,facebook,0,en,sem-non-brand,google,omg,Web,"Mac Desktop",Safari,NDF
hk830t9v8m,21-08-2013,,,NULL,basic,0,en,seo,google,linked,Web,"Mac Desktop",Chrome,NDF
62a3ijlhyx,13-01-2014,,,NULL,basic,25,en,direct,direct,untracked,iOS,iPhone,,NDF
0hk6n42alu,27-12-2013,,,NULL,basic,25,en,direct,direct,,iOS,Other/Unknown,,NDF
op8wps7or3,11-11-2013,,,NULL,basic,0,en,sem-brand,google,omg,Web,"Windows Desktop",Chrome,NDF
pzbiowm64v,22-01-2014,09-07-2014,MALE,42,facebook,0,en,direct,direct,linked,Web,"Mac Desktop",Safari,US
p8mnbgupwn,23-01-2012,22-02-2012,FEMALE,38,basic,2,en,direct,direct,,Web,Other/Unknown,,US
wmwg6j1ote,09-01-2013,,FEMALE,34,facebook,0,en,sem-brand,google,omg,Web,iPad,"Mobile Safari",NDF
uzoilfo1kp,08-09-2013,,,NULL,basic,0,en,direct,direct,untracked,Web,"Mac Desktop",Chrome,NDF
s5w0lwh1jy,31-08-2012,05-09-2012,FEMALE,32,basic,12,en,api,other,linked,Moweb,"Mac Desktop",Chrome,FR
o4bglqejra,09-05-2014,,FEMALE,64,facebook,0,en,direct,direct,linked,Web,"Mac Desktop",Safari,NDF
n310dr6m4x,27-07-2012,,FEMALE,NULL,basic,0,en,direct,direct,untracked,Web,"Mac Desktop",Firefox,NDF
f1him814fk,14-04-2014,,,NULL,basic,0,en,sem-non-brand,google,omg,Web,iPad,"Mobile Safari",NDF
srw98dgu4h,08-05-2013,01-02-2014,FEMALE,23,facebook,0,en,direct,direct,untracked,Web,"Windows Desktop",Chrome,US
fmizfivc4d,03-02-2014,05-02-2014,MALE,53,basic,0,en,direct,direct,untracked,Web,"Windows Desktop",Firefox,GB
84cdcj2f54,01-03-2013,,,NULL,basic,23,en,direct,direct,untracked,Android,iPhone,,NDF
n3r7vhb9y3,10-06-2014,,,NULL,basic,0,en,direct,direct,untracked,Web,iPhone,"Mobile Safari",NDF
7cqupc9qaf,29-08-2012,,,NULL,basic,0,en,direct,direct,linked,Web,"Mac Desktop",Safari,NDF
0ncu3dj1wv,20-02-2013,20-02-2013,MALE,34,facebook,0,en,other,facebook-open-graph,tracked-other,Web,"Mac Desktop",Safari,US
hjcyml32fg,29-04-2014,22-01-2015,,38,basic,0,en,direct,direct,untracked,Web,"Mac Desktop",Safari,US
vae8ci18ge,20-11-2013,,,NULL,basic,25,en,direct,direct,,iOS,Other/Unknown,,NDF
rjb4yu3yu1,12-05-2012,31-07-2012,FEMALE,33,facebook,0,en,direct,direct,linked,Web,"Mac Desktop",Firefox,US
55p1zx8fvm,29-11-2010,30-11-2010,,NULL,basic,3,en,seo,google,untracked,Web,"Mac Desktop",Chrome,US
u3av6wc0x7,09-06-2014,09-06-2014,FEMALE,59,basic,0,en,seo,google,untracked,Web,"Windows Desktop",Chrome,US
1ktv8clqqr,18-06-2013,,,NULL,basic,0,en,direct,direct,untracked,Web,"Mac Desktop",Firefox,NDF
3vumzsyhk4,08-07-2011,15-07-2011,FEMALE,32,facebook,2,en,direct,direct,tracked-other,Web,"Mac Desktop",Firefox,US
fc1t8n5ekh,25-12-2013,,,NULL,basic,0,en,direct,direct,untracked,Web,iPad,"Chrome Mobile",NDF
pk2s1s54ds,13-06-2014,13-06-2014,MALE,23,basic,0,en,sem-non-brand,google,omg,Web,"Windows Desktop",Chrome,US
c5d8xwo30t,15-08-2012,24-08-2012,MALE,33,facebook,0,en,direct,direct,untracked,Web,"Windows Desktop",Chrome,other
qrx7ur0tgm,21-09-2012,,FEMALE,33,facebook,0,en,content,facebook,untracked,Web,"Android Phone","Android Browser",NDF
5837umimt5,02-02-2012,02-02-2012,FEMALE,37,basic,3,en,sem-non-brand,google,linked,Web,iPhone,"Mobile Safari",US
vbmo9glimb,07-03-2012,08-06-2012,FEMALE,25,facebook,3,en,sem-non-brand,google,omg,Web,"Windows Desktop",Chrome,other
xdqcecp9ht,03-03-2012,04-04-2012,,34,basic,0,en,sem-non-brand,google,untracked,Web,"Mac Desktop",Safari,US
deaqemncqn,21-05-2013,,FEMALE,24,basic,0,en,direct,direct,tracked-other,Web,"Windows Desktop",Chrome,NDF
ybxpdjreli,19-08-2013,,FEMALE,36,facebook,0,en,sem-brand,google,omg,Web,"Windows Desktop",Chrome,NDF
d169jztfw5,30-06-2013,24-12-2013,FEMALE,34,basic,0,en,direct,direct,untracked,Web,"Windows Desktop",Chrome,US
u2ekydn8si,02-06-2013,02-06-2013,,54,basic,0,en,sem-brand,google,omg,Web,"Windows Desktop",Chrome,US
ts37mcxezz,14-05-2014,,,NULL,basic,0,en,sem-non-brand,google,omg,Web,"Windows Desktop",Chrome,NDF
wq9sqxxl9r,01-09-2011,,FEMALE,39,facebook,2,en,remarketing,google,untracked,Web,"Mac Desktop",Safari,NDF
s99gnqesma,22-10-2013,07-04-2014,FEMALE,33,basic,0,en,sem-non-brand,google,omg,Web,"Mac Desktop",Safari,US
4wq4o4btaq,24-04-2014,,,NULL,basic,0,en,sem-non-brand,google,omg,Web,iPad,"Mobile Safari",NDF
avmp524v23,14-03-2012,15-03-2012,,NULL,basic,3,en,direct,direct,untracked,Web,"Mac Desktop",Chrome,US
wgt4pvc0rt,31-05-2012,,,33,facebook,0,en,direct,direct,linked,Web,"Windows Desktop",Chrome,NDF
c101h6gail,17-04-2014,01-05-2014,,NULL,basic,0,en,direct,direct,untracked,Web,"Windows Desktop",Chrome,US
7lq6336k60,14-04-2013,10-10-2013,MALE,28,facebook,0,en,direct,direct,untracked,Web,"Mac Desktop",Safari,US
zyiuo6znlz,25-02-2014,,,NULL,basic,0,en,sem-non-brand,google,omg,Web,"Windows Desktop",IE,NDF
6mus33eur4,23-05-2013,23-05-2013,FEMALE,38,facebook,0,en,other,facebook-open-graph,tracked-other,Web,"Mac Desktop",Chrome,FR
1br7ao4orv,19-11-2012,19-10-2013,MALE,38,basic,0,en,direct,direct,untracked,Web,"Mac Desktop",Chrome,US
1kdik52o5c,09-06-2014,,,NULL,basic,24,en,direct,direct,untracked,Moweb,"Android Phone","Chrome Mobile",NDF
