user_id,action,action_type,action_detail,device_type,secs_elapsed
0e9rascg0c,index,view,your_listings,"Windows Desktop",8513
0e9rascg0c,show,view,p3,"Windows Desktop",33601
0e9rascg0c,index,view,your_listings,"Windows Desktop",6328
0e9rascg0c,ajax_lwlb_contact,click,contact_host,"Windows Desktop",11159
0e9rascg0c,,message_post,message_post,"Windows Desktop",11940
0e9rascg0c,ask_question,submit,contact_host,"Windows Desktop",445
0e9rascg0c,confirm_email,click,confirm_email_link,iPhone,28883
0e9rascg0c,,message_post,message_post,"Windows Desktop",NULL
0e9rascg0c,index,view,view_search_results,"Windows Desktop",95708
0e9rascg0c,show,view,p3,"Windows Desktop",10765
0e9rascg0c,index,view,your_listings,"Windows Desktop",5284
0e9rascg0c,ask_question,submit,contact_host,"Windows Desktop",561
0e9rascg0c,index,view,view_search_results,"Windows Desktop",17146
0e9rascg0c,header_userpic,data,header_userpic,"Windows Desktop",1390
0e9rascg0c,personalize,data,wishlist_content_update,"Windows Desktop",67
0e9rascg0c,show,view,p3,"Windows Desktop",6295
tue0sqxoer,active,,,,NULL
tue0sqxoer,multi,,,,422
tue0sqxoer,show,,,,500
p960dmwylo,authenticate,submit,login,"Windows Desktop",NULL
p960dmwylo,hosting_social_proof,,,"Windows Desktop",231839
p960dmwylo,header_userpic,data,header_userpic,"Windows Desktop",2772
paik5ed4hi,show,view,p3,"Mac Desktop",214099
paik5ed4hi,index,view,view_search_results,"Mac Desktop",1535
paik5ed4hi,personalize,data,wishlist_content_update,"Mac Desktop",117
paik5ed4hi,show,,,"Mac Desktop",1329
paik5ed4hi,show,view,p3,"Mac Desktop",2365
paik5ed4hi,ajax_refresh_subtotal,click,change_trip_characteristics,"Mac Desktop",671
paik5ed4hi,show,,,"Mac Desktop",28
paik5ed4hi,personalize,data,wishlist_content_update,"Mac Desktop",1164
paik5ed4hi,show,view,p3,"Mac Desktop",567124
paik5ed4hi,search,,,,412227
paik5ed4hi,ajax_refresh_subtotal,click,change_trip_characteristics,"Mac Desktop",732
paik5ed4hi,show,,,"Mac Desktop",81
paik5ed4hi,personalize,data,wishlist_content_update,"Mac Desktop",1813
paik5ed4hi,create,submit,create_user,"Mac Desktop",NULL
paik5ed4hi,header_userpic,data,header_userpic,"Mac Desktop",663
paik5ed4hi,confirm_email,click,confirm_email_link,"Mac Desktop",29756
paik5ed4hi,dashboard,view,dashboard,"Mac Desktop",564
paik5ed4hi,active,,,,59823
paik5ed4hi,multi,,,,89
paik5ed4hi,faq_experiment_ids,,,,73
paik5ed4hi,show,,,,516
paik5ed4hi,faq_category,,,,45570
paik5ed4hi,ajax_refresh_subtotal,click,change_trip_characteristics,"Mac Desktop",48176
paik5ed4hi,similar_listings,data,similar_listings,"Mac Desktop",138
paik5ed4hi,ajax_refresh_subtotal,click,change_trip_characteristics,"Mac Desktop",5763
